import_key,slug,headword,headword_normalized,romanization,romanization_normalized,pronunciation_hangul,pronunciation_romanization,part_of_speech,etymology_type,stem,irregular_type,difficulty_level,frequency_level,topik_level,status
entry-hakgyo,hakgyo,학교,학교,hakgyo,hakgyo,[학꾜],,noun,sino_korean,,,beginner,high,,draft
entry-haksaeng,haksaeng,학생,학생,haksaeng,haksaeng,[학쌩],,noun,sino_korean,,,beginner,high,,draft
entry-saram,saram,사람,사람,saram,saram,[사ː람],,noun,native,,,beginner,high,,draft
entry-gada,gada,가다,가다,gada,gada,[가다],,verb,native,,,beginner,high,,draft
entry-deutda,deutda,듣다,듣다,deutda,deutda,[듣따],,verb,native,,ㄷ,beginner,high,,draft
entry-chingu,chingu,친구,친구,chingu,chingu,[친구],,noun,sino_korean,,,beginner,high,,draft
entry-sigan-time,sigan-time,시간,시간,sigan,sigan,[시간],,noun,sino_korean,,,beginner,high,,draft
entry-sigan-hour,sigan-hour,시간,시간,sigan,sigan,[시간],,bound_noun,sino_korean,,,beginner,high,,draft
entry-mul,mul,물,물,mul,mul,[물],,noun,native,,,beginner,high,,draft
entry-meokda,meokda,먹다,먹다,meokda,meokda,[먹따],,verb,native,,,beginner,high,,draft
entry-boda,boda,보다,보다,boda,boda,[보다],,verb,native,,,beginner,high,,draft
entry-baeuda,baeuda,배우다,배우다,baeuda,baeuda,[배우다],,verb,native,,,beginner,high,,draft
entry-gongbuhada,gongbuhada,공부하다,공부하다,gongbuhada,gongbuhada,[공부하다],,verb,hybrid,,여,beginner,high,,draft
entry-geotda,geotda,걷다,걷다,geotda,geotda,[걷ː따],,verb,native,,ㄷ,beginner,high,,draft
entry-dopda,dopda,돕다,돕다,dopda,dopda,[돕ː따],,verb,native,,ㅂ,beginner,high,,draft
entry-moreuda,moreuda,모르다,모르다,moreuda,moreuda,[모ː르다],,verb,native,,르,beginner,high,,draft
entry-jitda,jitda,짓다,짓다,jitda,jitda,[짇ː따],,verb,native,,ㅅ,intermediate,high,,draft
entry-sseuda-write,sseuda-write,쓰다,쓰다,sseuda,sseuda,[쓰다],,verb,native,,,beginner,high,,draft
entry-sseuda-use,sseuda-use,쓰다,쓰다,sseuda,sseuda,[쓰다],,verb,native,,,beginner,high,,draft
entry-salda,salda,살다,살다,salda,salda,[살ː다],,verb,native,,,beginner,high,,draft
entry-jota,jota,좋다,좋다,jota,jota,[조ː타],,adjective,native,,,beginner,high,,draft
entry-keuda-big,keuda-big,크다,크다,keuda,keuda,[크다],,adjective,native,,,beginner,high,,draft
entry-jakda,jakda,작다,작다,jakda,jakda,[작ː따],,adjective,native,,,beginner,high,,draft
entry-chupda,chupda,춥다,춥다,chupda,chupda,[춥따],,adjective,native,,ㅂ,beginner,high,,draft
entry-ppareuda,ppareuda,빠르다,빠르다,ppareuda,ppareuda,[빠르다],,adjective,native,,르,beginner,high,,draft
entry-geureota,geureota,그렇다,그렇다,geureota,geureota,[그러타],,adjective,native,,ㅎ,intermediate,high,,draft
entry-hayata,hayata,하얗다,하얗다,hayata,hayata,[하ː야타],,adjective,native,,ㅎ,beginner,medium,,draft
entry-eumsik,eumsik,음식,음식,eumsik,eumsik,[음ː식],,noun,sino_korean,,,beginner,high,,draft
entry-munhwa,munhwa,문화,문화,munhwa,munhwa,[문화],,noun,sino_korean,,,intermediate,high,,draft
entry-maeum,maeum,마음,마음,maeum,maeum,[마음],,noun,native,,,intermediate,high,,draft
entry-eoryeopda,eoryeopda,어렵다,어렵다,eoryeopda,eoryeopda,[어렵따],,adjective,native,,ㅂ,beginner,high,,draft
entry-joahada,joahada,좋아하다,좋아하다,joahada,joahada,[조ː아하다],,verb,native,,여,beginner,high,,draft
