entry_import_key,example_import_key,sense_import_key,display_order
entry-baeuda,v2-ex-001,sense-baeuda-01,1
entry-baeuda,v2-ex-021,sense-baeuda-02,2
entry-boda,v2-ex-016,sense-boda-01,1
entry-boda,v2-ex-017,sense-boda-02,2
entry-boda,v2-ex-018,sense-boda-03,3
entry-boda,v2-ex-019,sense-boda-04,4
entry-boda,v2-ex-020,sense-boda-05,5
entry-chingu,v2-ex-006,sense-chingu-01,1
entry-chingu,v2-ex-007,sense-chingu-02,2
entry-chingu,v2-ex-025,sense-chingu-01,3
entry-chingu,v2-ex-030,sense-chingu-01,4
entry-chupda,v2-ex-034,sense-chupda-01,1
entry-deutda,v2-ex-013,sense-deutda-01,1
entry-deutda,v2-ex-048,sense-deutda-01,2
entry-dopda,v2-ex-025,sense-dopda-01,1
entry-eoryeopda,v2-ex-034,sense-eoryeopda-01,1
entry-eoryeopda,v2-ex-036,sense-eoryeopda-01,2
entry-eumsik,v2-ex-039,sense-eumsik-01,1
entry-eumsik,v2-ex-040,sense-eumsik-02,2
entry-eumsik,v2-ex-045,sense-eumsik-01,3
entry-gada,v2-ex-012,sense-gada-01,1
entry-geotda,v2-ex-023,sense-geotda-01,1
entry-geureota,v2-ex-037,sense-geureota-01,1
entry-gongbuhada,v2-ex-022,sense-gongbuhada-01,1
entry-hakgyo,v2-ex-001,sense-hakgyo-01,1
entry-haksaeng,v2-ex-001,sense-haksaeng-01,1
entry-haksaeng,v2-ex-047,sense-haksaeng-01,2
entry-hayata,v2-ex-038,sense-hayata-01,1
entry-hayata,v2-ex-048,sense-hayata-01,2
entry-jakda,v2-ex-033,sense-jakda-01,1
entry-jitda,v2-ex-028,sense-jitda-01,1
entry-joahada,v2-ex-045,sense-joahada-01,1
entry-joahada,v2-ex-046,sense-joahada-02,2
entry-joahada,v2-ex-047,sense-joahada-03,3
entry-jota,v2-ex-031,sense-jota-01,1
entry-keuda-big,v2-ex-032,sense-keuda-big-01,1
entry-maeum,v2-ex-025,sense-maeum-04,1
entry-maeum,v2-ex-042,sense-maeum-01,2
entry-maeum,v2-ex-043,sense-maeum-02,3
entry-maeum,v2-ex-044,sense-maeum-03,4
entry-meokda,v2-ex-014,sense-meokda-01,1
entry-meokda,v2-ex-015,sense-meokda-02,2
entry-meokda,v2-ex-040,sense-meokda-01,3
entry-moreuda,v2-ex-026,sense-moreuda-01,1
entry-moreuda,v2-ex-027,sense-moreuda-02,2
entry-mul,v2-ex-010,sense-mul-01,1
entry-mul,v2-ex-011,sense-mul-02,2
entry-munhwa,v2-ex-041,sense-munhwa-01,1
entry-ppareuda,v2-ex-035,sense-ppareuda-01,1
entry-salda,v2-ex-030,sense-salda-01,1
entry-saram,v2-ex-002,sense-saram-01,1
entry-saram,v2-ex-003,sense-saram-02,2
entry-saram,v2-ex-004,sense-saram-03,3
entry-saram,v2-ex-005,sense-saram-04,4
entry-saram,v2-ex-025,sense-saram-01,5
entry-saram,v2-ex-042,sense-saram-01,6
entry-saram,v2-ex-048,sense-saram-01,7
entry-sigan-hour,v2-ex-009,sense-sigan-hour-01,1
entry-sigan-time,v2-ex-008,sense-sigan-time-01,1
entry-sseuda-use,v2-ex-029,sense-sseuda-use-01,1
entry-sseuda-write,v2-ex-024,sense-sseuda-write-01,1
