import_key,sense_import_key,locale,short_definition,definition,usage_note,nuance_note,status
st-sense-hakgyo-01-en,sense-hakgyo-01,en,school,An institution where students receive organized education according to a curriculum and set system.,,,draft
st-sense-hakgyo-01-zh,sense-hakgyo-01,zh,学校,按照一定的教育目标、课程和制度对学生进行教育的机构。,,,draft
st-sense-hakgyo-01-ja,sense-hakgyo-01,ja,学校,一定の教育目的・教育課程・制度に基づいて学生や生徒を教育する機関。,,,draft
st-sense-haksaeng-01-en,sense-haksaeng-01,en,student,A person who attends a school or other educational institution and studies there.,,,draft
st-sense-haksaeng-01-zh,sense-haksaeng-01,zh,学生,在学校等教育机构就读和学习的人。,,,draft
st-sense-haksaeng-01-ja,sense-haksaeng-01,ja,学生・生徒,学校などの教育機関に通って学ぶ人。,,,draft
st-sense-saram-01-en,sense-saram-01,en,person; human being,"A human being who thinks, communicates, and lives as part of society.",,,draft
st-sense-saram-01-zh,sense-saram-01,zh,人；人类个体,能够思考、交流并生活在社会中的人类个体。,,,draft
st-sense-saram-01-ja,sense-saram-01,ja,人；人間,考えたり人と意思を伝え合ったりしながら、社会の中で暮らす人間。,,,draft
st-sense-saram-02-en,sense-saram-02,en,person from/of …,"A person who comes from a particular place or belongs to a particular family, group, or organization.",,,draft
st-sense-saram-02-zh,sense-saram-02,zh,……人；……的人,来自某个地区，或属于某个家庭、团体、组织等的人。,,,draft
st-sense-saram-02-ja,sense-saram-02,ja,～の人；～出身の人,ある地域の出身者、または特定の家・集団・組織などに属する人。,,,draft
st-sense-saram-03-en,sense-saram-03,en,character; personality,A person's character or personal qualities.,,,draft
st-sense-saram-03-zh,sense-saram-03,zh,性格；人品,一个人的性格或人品。,,,draft
st-sense-saram-03-ja,sense-saram-03,ja,人柄；性格,その人の性格や人柄。,,,draft
st-sense-saram-04-en,sense-saram-04,en,person (with numbers),Used after an expression of quantity to refer to that number of people.,,,draft
st-sense-saram-04-zh,sense-saram-04,zh,人（用于数量表达）,用在表示数量的词语后，指相应数量的人。,,,draft
st-sense-saram-04-ja,sense-saram-04,ja,人（数量表現）,数量を表す語の後に用い、その人数の人を指す。,,,draft
st-sense-gada-01-en,sense-gada-01,en,go,To move from one place to another.,,,draft
st-sense-gada-01-zh,sense-gada-01,zh,去,从一个地方移动到另一个地方。,,,draft
st-sense-gada-01-ja,sense-gada-01,ja,行く,ある場所から別の場所へ移動する。,,,draft
st-sense-deutda-01-en,sense-deutda-01,en,hear; listen,"To perceive a sound with the ears or pay attention to speech, music, or other sounds.",,,draft
st-sense-deutda-01-zh,sense-deutda-01,zh,听；听到,用耳朵听到声音，或有意识地听别人说话、音乐等。,,,draft
st-sense-deutda-01-ja,sense-deutda-01,ja,聞く・聴く,耳で音を感じ取ったり、人の話や音楽などに耳を傾けたりする。,,,draft
st-sense-chingu-01-en,sense-chingu-01,en,friend,A person with whom one has a close and friendly relationship.,,,draft
st-sense-chingu-01-zh,sense-chingu-01,zh,朋友,与自己关系亲近、友好相处的人。,,,draft
st-sense-chingu-01-ja,sense-chingu-01,ja,友達,親しく付き合っている人。,,,draft
st-sense-chingu-02-en,sense-chingu-02,en,fellow; person (informal),"An informal way of referring to someone about the same age or younger; depending on tone, it may sound friendly or mildly dismissive.",,,draft
st-sense-chingu-02-zh,sense-chingu-02,zh,这人；这家伙（口语）,对年龄相仿或比自己小的人使用的非正式称呼；根据语气可以显得亲近，也可能略带轻慢。,,,draft
st-sense-chingu-02-ja,sense-chingu-02,ja,この人；やつ（くだけた言い方）,同年代か年下の人をくだけて指す言い方で、文脈によって親しみを表すことも、ややぞんざいに聞こえることもある。,,,draft
st-sense-sigan-time-01-en,sense-sigan-time-01,en,time; period,A period or amount of time from one point to another.,,,draft
st-sense-sigan-time-01-zh,sense-sigan-time-01,zh,时间；一段时间,从某一时刻到另一时刻之间的一段时间或其长短。,,,draft
st-sense-sigan-time-01-ja,sense-sigan-time-01,ja,時間；期間,ある時点から別の時点までの時間、またはその長さ。,,,draft
st-sense-sigan-hour-01-en,sense-sigan-hour-01,en,hour,A bound noun used after a number to express a length of time in units of sixty minutes.,,,draft
st-sense-sigan-hour-01-zh,sense-sigan-hour-01,zh,小时,用在数词后，以六十分钟为一个单位表示时间长度的依存名词。,,,draft
st-sense-sigan-hour-01-ja,sense-sigan-hour-01,ja,時間,数を表す語の後に付き、60分を1単位として時間の長さを表す依存名詞。,,,draft
st-sense-mul-01-en,sense-mul-01,en,water,"The liquid used for drinking, washing, cooking, and many other everyday purposes.",,,draft
st-sense-mul-01-zh,sense-mul-01,zh,水,用于饮用、清洗、烹饪等各种日常用途的液体。,,,draft
st-sense-mul-01-ja,sense-mul-01,ja,水,飲用・洗浄・調理など、日常のさまざまな用途に使われる液体。,,,draft
st-sense-mul-02-en,sense-mul-02,en,water; body of water,"Water forming or filling a natural area such as a river, lake, or sea.",,,draft
st-sense-mul-02-zh,sense-mul-02,zh,水；水域,河流、湖泊、海洋等自然水域中的水，或这样的水域。,,,draft
st-sense-mul-02-ja,sense-mul-02,ja,水；水域,川・湖・海などの自然の場所に広がっている水、またはそのような水域。,,,draft
st-sense-meokda-01-en,sense-meokda-01,en,eat,"To put food into the mouth and swallow it, chewing it when necessary.",,,draft
st-sense-meokda-01-zh,sense-meokda-01,zh,吃,把食物放入口中，必要时经过咀嚼后咽下。,,,draft
st-sense-meokda-01-ja,sense-meokda-01,ja,食べる,食べ物を口に入れ、必要に応じてかんで飲み込む。,,,draft
st-sense-meokda-02-en,sense-meokda-02,en,take (medicine),"To take medicine, especially by swallowing it.",,,draft
st-sense-meokda-02-zh,sense-meokda-02,zh,吃药；服用,服用药物。,,,draft
st-sense-meokda-02-ja,sense-meokda-02,ja,薬を飲む；服用する,薬を服用する。,,,draft
st-sense-boda-01-en,sense-boda-01,en,see; look at,To perceive the existence or appearance of something with the eyes.,,,draft
st-sense-boda-01-zh,sense-boda-01,zh,看；看见,用眼睛看到某物的存在或外观。,,,draft
st-sense-boda-01-ja,sense-boda-01,ja,見る；目にする,目で物の存在や外見をとらえる。,,,draft
st-sense-boda-02-en,sense-boda-02,en,watch; view,"To look at and enjoy or appreciate something such as a movie, performance, or television program.",,,draft
st-sense-boda-02-zh,sense-boda-02,zh,看；观看,观看并欣赏电影、演出、电视节目等。,,,draft
st-sense-boda-02-ja,sense-boda-02,ja,見る；鑑賞する,映画・公演・テレビ番組などを見て楽しんだり鑑賞したりする。,,,draft
st-sense-boda-03-en,sense-boda-03,en,read; look at,"To read and understand written, pictorial, or symbolic information in something such as a book, newspaper, or map.",,,draft
st-sense-boda-03-zh,sense-boda-03,zh,看；阅读,阅读并理解书籍、报纸、地图等中的文字、图像或符号。,,,draft
