import_key,entry_import_key,sense_order,is_primary,register,status
sense-hakgyo-01,entry-hakgyo,1,true,,draft
sense-haksaeng-01,entry-haksaeng,1,true,,draft
sense-saram-01,entry-saram,1,true,,draft
sense-saram-02,entry-saram,2,false,,draft
sense-saram-03,entry-saram,3,false,,draft
sense-saram-04,entry-saram,4,false,,draft
sense-gada-01,entry-gada,1,true,,draft
sense-deutda-01,entry-deutda,1,true,,draft
sense-chingu-01,entry-chingu,1,true,,draft
sense-chingu-02,entry-chingu,2,false,,draft
sense-sigan-time-01,entry-sigan-time,1,true,,draft
sense-sigan-hour-01,entry-sigan-hour,1,true,,draft
sense-mul-01,entry-mul,1,true,,draft
sense-mul-02,entry-mul,2,false,,draft
sense-meokda-01,entry-meokda,1,true,,draft
sense-meokda-02,entry-meokda,2,false,,draft
sense-boda-01,entry-boda,1,true,,draft
sense-boda-02,entry-boda,2,false,,draft
sense-boda-03,entry-boda,3,false,,draft
sense-boda-04,entry-boda,4,false,,draft
sense-boda-05,entry-boda,5,false,,draft
sense-baeuda-01,entry-baeuda,1,true,,draft
sense-baeuda-02,entry-baeuda,2,false,,draft
sense-gongbuhada-01,entry-gongbuhada,1,true,,draft
sense-geotda-01,entry-geotda,1,true,,draft
sense-dopda-01,entry-dopda,1,true,,draft
sense-moreuda-01,entry-moreuda,1,true,,draft
sense-moreuda-02,entry-moreuda,2,false,,draft
sense-jitda-01,entry-jitda,1,true,,draft
sense-sseuda-write-01,entry-sseuda-write,1,true,,draft
sense-sseuda-use-01,entry-sseuda-use,1,true,,draft
sense-salda-01,entry-salda,1,true,,draft
sense-jota-01,entry-jota,1,true,,draft
sense-keuda-big-01,entry-keuda-big,1,true,,draft
sense-jakda-01,entry-jakda,1,true,,draft
sense-chupda-01,entry-chupda,1,true,,draft
sense-ppareuda-01,entry-ppareuda,1,true,,draft
sense-geureota-01,entry-geureota,1,true,,draft
sense-hayata-01,entry-hayata,1,true,,draft
sense-eumsik-01,entry-eumsik,1,true,,draft
sense-eumsik-02,entry-eumsik,2,false,,draft
sense-munhwa-01,entry-munhwa,1,true,,draft
sense-maeum-01,entry-maeum,1,true,,draft
sense-maeum-02,entry-maeum,2,false,,draft
sense-maeum-03,entry-maeum,3,false,,draft
sense-maeum-04,entry-maeum,4,false,,draft
sense-eoryeopda-01,entry-eoryeopda,1,true,,draft
sense-joahada-01,entry-joahada,1,true,,draft
sense-joahada-02,entry-joahada,2,false,,draft
sense-joahada-03,entry-joahada,3,false,,draft
